text,annotation_48,annotation_45,annotation_46,annotation_47
"#CovidVaccine
Russia's President Vladimir Putin on Tuesday said the country has developed the ""first"" coronavirus v… https://t.co/99M6xUOuYK",unclear,pro-mitigation,unclear,unclear
CDC said it was safe. I’m fully vaccinated &amp; I follow CDC guidelines. Been doing so this whole pandemic. So no mask 🤷🏽‍♂️,pro-mitigation,unclear,unclear,pro-mitigation
"The Coronavirus Vaccine Tracker
by #COVID19 #CovidVaccine
https://t.co/vg2q7Shw3c",unclear,unclear,unclear,unclear
"Three Texas House Democratic lawmakers had been vaccinated against the coronavirus, but tested positive over the last 24 hours/  The lawmakers traveled on a private chartered flight and complied with CDC guidelines.  Fortunately there were ZERO unvaccinated people on their flight",unclear,pro-mitigation,unclear,anti-mitigation
Researchers across the US have stepped up efforts towards the development of an effective Covid-19 vaccine… https://t.co/xL4VUWIkua,unclear,pro-mitigation,unclear,unclear
COVID-19 recovered patients protected during massive outbreak on U.S vessel. How long do anti-bodies last in a COVI… https://t.co/oZ3UuFdHLi,unclear,unclear,unclear,unclear
"What's to lose - Sure Nov. 1 no problem!
#CovidVaccine 

'Great for the manufacturers': How the law shields drug ma… https://t.co/DVJ7wQBNQP",unclear,unclear,unclear,unclear
"BJP is Blackmailing voters with #CovidVaccine ,  Bihar voters should question BJP and their allies why… https://t.co/7Bu7CxslHX",unclear,unclear,unclear,unclear
"Russia is the first country to approve a vaccine!

President Putin said this RUSSIAN VACCINE works effectively but… https://t.co/YSUhxSN8UC",unclear,pro-mitigation,unclear,unclear
"Many blue governors were using the CDC guidelines as a shield to tell state residents “sorry, CDC says we gotta.” Once the CDC lifts that, all that’s left is the relentless, screaming pressure on them to lift mask mandates and reopen fully.",unclear,unclear,anti-mitigation,pro-mitigation
We shouldn't need to go digging to find these things out. Release your data #CovidVaccine https://t.co/VhsYzqoPz5,unclear,unclear,unclear,anti-mitigation
"One ethicist warns there are ""tricky decisions"" to be made about who is vaccinated first.
Some experts say a lotter… https://t.co/8RnzPHa6GP",unclear,unclear,unclear,anti-mitigation
Just when the CDC’s usefulness is called into question they give us guidelines to not cuddle with chickens.,unclear,unclear,anti-mitigation,anti-mitigation
"It’s so intrusive now.They tried to push 4 vaccines on me. Kept referencing CDC guidelines &amp; I wasn’t having it, NO to all! I thought by this time it would’ve gotten better, it’s worse. I’m sure the hysteria and overkill is pushed by this sham admin, so exams &amp; testing on hold.🤬",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
im not getting the #covidvaccine because of antivaxers or conspiracy theories. Its because i wont be a guinea… https://t.co/X9HdKwFBm9,anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"That’s my understanding of the differences in guidance. US is further along in the public vaccination process, so guidelines from CDC are going to seem “riskier” or more liberal than from the WHO, because the general population has a lower overall risk because of immunizations.",unclear,pro-mitigation,unclear,pro-mitigation
"a vaccine seems to be ESSENTIAL if we are to start travelling again...,with ANY confidence...,because fear of the v… https://t.co/AlGCydjOVq",pro-mitigation,pro-mitigation,unclear,pro-mitigation
How about following the CDC guidelines on community spread?  Why did these get thrown out last school year?  https://t.co/A6PdH1yZD5,unclear,unclear,anti-mitigation,unclear
so after a year of “follow CDC guidelines” now we are saying …don’t follow CDC guidelines??? Now because you personally disagree with the CDC but have no factual evidence based on science to support going against them …   https://t.co/GDbgARBzKj,unclear,unclear,pro-mitigation,pro-mitigation
Pfizer/BioNTech say #COVID_19 jab on track for approval by year-end https://t.co/BdNQLpDlAb via https://t.co/B0JOpQwlI2,unclear,unclear,unclear,pro-mitigation
"Putin ryt now..
#CoronavirusVaccine 
#RussianVaccine 
#CovidVaccine https://t.co/630MB3ZJqI",unclear,unclear,unclear,unclear
#BREAKING: Fully vaccinated teachers and students don't need to wear masks inside school buildings. Read the CDC's updated guidelines here:  https://t.co/aSCOzujtQ5,pro-mitigation,unclear,unclear,pro-mitigation
I don’t think the GOP lost in Texas and if a large majority of Texans opposed the bill I don’t think the GOP would have majority power there.,unclear,unclear,unclear,unclear
"At least 31,000 volunteers from more than 120 nationalities have taken part in #UAE's first Phase III trials of an… https://t.co/IOt9lS7Kyo",unclear,pro-mitigation,unclear,unclear
"Russia wants to partner india in COVID-19 vaccine production

#Corona 
#CoronaVaccine 
#COVID19 
#Russia 
#SputnikV… https://t.co/McCKIZrY2L",unclear,unclear,unclear,unclear
Russia announces they have a vaccine. #CovidVaccine #RussianVaccine #Vaccine #TrumpRussia #TrumpPutin #PutinsPuppet… https://t.co/SEH3GaRoy7,unclear,unclear,unclear,unclear
The CDC’s guidelines We’re guidelines not laws but of course dumb politicians individual states ran with it well I’m not sitting by and doing nothing I’m fighting back and doctors need to do the same and there’s still time to get your voice heard,anti-mitigation,unclear,anti-mitigation,anti-mitigation
"Don’t say that you weren’t warned.
#ThursdayThoughts #qanon #QAnon2020 #TikTok #China #RuleBritannia #vaccine… https://t.co/o8XUR8JKsB",unclear,unclear,unclear,unclear
"Till date, the nation has announced almost 24,000 instances of the infection, of which, upwards of 438 individuals… https://t.co/XSXCnls30z",unclear,unclear,unclear,unclear
"""We need to rapidly scale up our clinical trials, manufacturing, licensing and regulation capacity"" 

#WHO… https://t.co/bOp6hjGFBJ",unclear,pro-mitigation,pro-mitigation,unclear
"The reason being is the soon to be dropped, and even more horrible, expanded CDC guidelines, imho.",anti-mitigation,unclear,anti-mitigation,anti-mitigation
Cdc states you no longer need a mask if vaccinated. I get allot of people aren’t but if you are according to the data and scientists you no longer need to mask up. If it helps you feel safer then by all means continue but its no longer a requirement set forth by cdc guidelines,pro-mitigation,unclear,unclear,pro-mitigation
😳 wow my life on the pasion of the public and in accordinancd with cdc guidelines we have a title.,unclear,unclear,unclear,pro-mitigation
Planning to reopen your building or increase building usage following reduced operation? Be sure to follow CDC guidelines to ensure the water quality is safe. Visit  https://t.co/gXZIQQKSQd to learn more or contact us at dwmconnect https://t.co/7lKESVvAjM,pro-mitigation,unclear,unclear,pro-mitigation
"Rochelle Walensky is relaxing guidelines so she can act like William Wallace in Braveheart, yelling ""FREEDOM!!"" Now, more kids are getting sick, and the CDC barely says a word about the risk for those of us who are vaccinated but immunocompromised. The needs to clean house.",anti-mitigation,anti-mitigation,anti-mitigation,anti-mitigation
"As an RN, I have always been an advocate for VACCINES but for the first time in my life, I can boldly say that I wi… https://t.co/DCCmzzQ6Ad",anti-mitigation,pro-mitigation,pro-mitigation,unclear
"This quarantine has been immensely frustrating in many ways, but by far the most frustrating is the lack of communication on when I am able to end self isolating. DC's government website has multiple contradictory guidelines. Those are seperate &amp; different than the CDC, or OAP.",anti-mitigation,anti-mitigation,unclear,anti-mitigation
"What country you prefer PH's vaccine should come from? Why? 
(asa ang inyuha PILIon na ug Ngano?)

#CovidVaccine… https://t.co/NKnd9PMQeO",unclear,unclear,unclear,pro-mitigation
"Looks like we’re within weeks of reversing the guidelines and that almost every doctor and epidemiologists was saying that the CDC guidelines were prematurely issued in May, they were correct and they’ll further damage their credibility.",anti-mitigation,unclear,anti-mitigation,anti-mitigation
I love them saying to “go beyond CDC” instead of what they are doing which is “going against CDC” guidelines 🤣,anti-mitigation,unclear,pro-mitigation,pro-mitigation
I'm supposed to take you serious ?  Virtue Signal Checklist  woke avatar  ✅ abused animal in mask counter to CDC guidelines ✅  https://t.co/Fv0wAh4Pme  https://t.co/5hAg8IPN09,unclear,unclear,unclear,anti-mitigation
State officials have said they will follow CDC guidelines as Washington prepares to reopen.  https://t.co/Rvz91AeJoB,unclear,unclear,unclear,pro-mitigation
"-Russia has annouced first #CovidVaccine 
-Putin daughter inoculated
-says rigorous safety data review needed… https://t.co/NwnA9q44Ee",unclear,pro-mitigation,unclear,unclear
lol the cdc shouldve never stopped those guidelines but hey wat do i know lol,pro-mitigation,unclear,anti-mitigation,anti-mitigation
Fox Kerry spotted violating CDC guidelines at airport — and it's not the first time he is almost as ugly as he is hypocritical,pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
"Every graph I've seen from CDC, NIH, HHS, &amp; NIDA shows that they were tracking Fentanyl/Carfentanyl OD deaths long before the 2016 CDC Guidelines were put out. Frieden/PROP KNOWINGLY screwed us.",unclear,unclear,anti-mitigation,anti-mitigation
"Clinical research #ageism is real as exemplified by exclusion of older adults from all sorts of trials. 

In… https://t.co/wGCLr7MnBg",unclear,unclear,unclear,unclear
I follow CDC and local guidelines and happily wear a mask when required.  Because I believe in science.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"With Limited COVID-19 Vaccine Doses, Who Would Get Them First? https://t.co/ngDpflpYoB via 
--
#Vaxnews… https://t.co/6sQIOzCci8",unclear,unclear,unclear,unclear
"#Pune  First 100 vaccine volunteers enter key week. ""CoviShield"" is being Jointly Developed by Oxford University &amp;… https://t.co/6Qli3DKSwV",unclear,unclear,unclear,pro-mitigation
"#COVIDVaccine 

Very large spread in vaccine effeciacy (flu is modest to measles being v. effective).  Depending on… https://t.co/s2DA4v2y6C",unclear,pro-mitigation,unclear,pro-mitigation
"Then he can wear a mask the entire time he's in an indoor stadium, locker room, press room, etc. That's the CDC Guidelines, and the &amp; should ensure he adheres to those guidelines the entire time for the safety of those unfortunate enough to be around him.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Amazing . They make a turn towards the factual truth , BUT they justify why people are confused is because CDC guidelines changed overtime . SMH 🤦🏼‍♂️",unclear,unclear,anti-mitigation,pro-mitigation
The world's largest #vaccine maker warns it'll take until 2024 for everyone across the globe to get vaccinated for… https://t.co/KcP744BbJi,unclear,unclear,unclear,anti-mitigation
"Some (?) in 'twitterland' have seen good effects of mask wearing eg. lack of flu season; those with immune/cancers etc. So, er usual - some people are governed by the CDC and adapt those guidelines (in a positive way) to their own personal circumstances. Agree.",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"Draft landscape of list of Approved vaccines by WHO 

AstraZeneca, Moderna, Pfizer are on Phase 3 of trials 

India… https://t.co/yt63917YW7",unclear,unclear,unclear,unclear
"What do you want your facemask to do?
#COVID19 #coronavirus #facemasks #CovidVaccine",unclear,unclear,unclear,anti-mitigation
"Developing a COVID-19 vaccine is hard. Getting people to use it will be, too. via #COVID-19 #Coronavirus… https://t.co/oMFNIf0WNp",unclear,unclear,unclear,anti-mitigation
"A1: How did I miss this discussion?!?!
Doing my best to continue to advocate for #vaccines on SoMe - esp… https://t.co/2E8dojUGs1",pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
"CDC is a general strategy.  But states still do things differently.  Emergency Management is local, regional, state then Fed.  Or in this case Israel.  Decisions are made at the local level for containment regardless of CDC Guidelines.  They are just Guidelines.",unclear,unclear,anti-mitigation,unclear
reporter tries to put words in mouth … trying to make him sound like the arbiter of #CovidVaccine… https://t.co/W3uNQlTUxB,unclear,unclear,pro-mitigation,unclear
"#CovidVaccine 

When will a vaccine be ready for Covid 19 https://t.co/QGzEsrnFLX",unclear,pro-mitigation,unclear,pro-mitigation
Please help the chronic pain patient community as well. The false narrative of opiate epidemic is literally killing us! Illicit drugs and pressed pills causing it not prescribed meds. Pa needs to remove CPP from CDC guidelines. Opiates work well/taken correctly/stored correctly!,unclear,unclear,anti-mitigation,anti-mitigation
"Wait, if Russia is claiming the first #CovidVaccine With just a phase 2 testing doesn’t that mean Oxford and Modern… https://t.co/4dNW1gbXw2",unclear,unclear,unclear,unclear
"Lol, its funny how Trump is using the Covid Vaccine as his momentum to win the re-election. I honestly just hope th… https://t.co/GEaY3RWJTT",unclear,unclear,anti-mitigation,unclear
"CDC guidelines, rules, laws do not apply to Democrats, just like Pelosi, and the rest.",unclear,unclear,anti-mitigation,anti-mitigation
"$jnj #covidvaccine as situation drags on, think we can safely say participant got vaccine, not the placebo.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
DMRegister: A federal appeals court panel sided with the CDC in its legal battle with Florida over COVID-19 guidelines for cruise lines.   https://t.co/dSqA4iWEy9,unclear,unclear,unclear,unclear
"Corona Update in India!
Total Confirmed:2.72M
Active Cases:0.67M
Total Recovered: 2M
Total Deaths:52163
Updated at:… https://t.co/riPtQ9f3Sf",unclear,unclear,unclear,unclear
What's your beef with him anyway. He's not the head of the CDC and that's the agency that sets the guidelines. There are other docs out there too. The say a lot worse is ahead.,anti-mitigation,unclear,unclear,anti-mitigation
"#CovidVaccine: The tragedy of vaccine nationalism - only cooperation can end the pandemic | Foreign Affairs
https://t.co/61Fp3c6qHS",unclear,pro-mitigation,pro-mitigation,pro-mitigation
The CDC changed its testing guidelines long before the baseball post-season - i.e. the CDC advises against testing vaccinated persons. And yet the NCAA is still using 2020 protocols. Why? 1/,unclear,anti-mitigation,pro-mitigation,pro-mitigation
Missouri Gov. Mike Parson calls the CDC’s decision “totally ridiculous” but an agency official says guidelines limit size of incentives.  https://t.co/N7wpxEMEAn,unclear,anti-mitigation,unclear,anti-mitigation
"Healthcare workers likely to be first in line for coronavirus vaccination. https://t.co/ck3kDWfsPf

#COVID #COVID19… https://t.co/dxbq39Z1hA",unclear,unclear,unclear,pro-mitigation
"Throughout the pandemic, Nemacolin has exceeded CDC and commonwealth guidelines and mandates for the hospitality industry. At this time, anyone at Nemacolin is welcome to wear a mask if they desire, and you'll still see many of our spa associates doing so.",unclear,pro-mitigation,pro-mitigation,pro-mitigation
What is it like to be a developer in these rapidly evolving modern time? Come by the first in-person #dotnet #stl #meetup tonight in quite awhile! (observing CDC and state guidelines for public gatherings)  https://t.co/2AumuK2uzn,unclear,unclear,unclear,unclear
"With growing uncertainty over work, wages, and wellbeing in the wake of the global pandemic Novel Coronavirus COVID… https://t.co/0R49YueOnD",unclear,unclear,unclear,unclear
"This article from the nbaa, not the CDC, is from February 7th... guidelines have been updated quite a bit since then regarding vaccinated travelers... but good try with your misleading post there...",pro-mitigation,unclear,pro-mitigation,unclear
"COVID-19 warriors will first ones to get vaccine dose, announces MoS Health #covid19 #coronavirus #covidvaccine… https://t.co/Uv5fhPI72b",unclear,pro-mitigation,unclear,pro-mitigation
#Nurses are going to have to get a lot more vocal about #VaccineSafety this season — it’s estimated that 1/3 of Ame… https://t.co/WTnYvcNc1b,unclear,unclear,unclear,unclear
 you also need burnol #BurnolForAirasia or Covid vaccine #CovidVaccine #COVID,unclear,pro-mitigation,unclear,pro-mitigation
"#covidvaccine phase 1 
👇👇👇 coming soon. Big  brother is healthy alive and well. 🧐👀👀👀

https://t.co/wgvvTeRTab",unclear,pro-mitigation,unclear,unclear
"Namely, when the CDC released their updated guidelines for summer camps for 2021, the CDC had said that masks were not necessary outside ...   https://t.co/4gGsTipYkm",unclear,anti-mitigation,unclear,pro-mitigation
"the #CDC guidelines, their misapplication have given rise to a very harmful practices in the field. For a child that had #pancreatitis or #sicklecell the belief that in midst of flare essential oils or breathing is the answer vs #opioid medications bc of the concern of 3/",anti-mitigation,unclear,anti-mitigation,anti-mitigation
"Vaccinated teachers and students don't need to wear masks inside school buildings, the CDC said Friday in relaxing its COVID-19 guidelines.  https://t.co/QgZEh9Q6kA",pro-mitigation,unclear,unclear,pro-mitigation
"Join us for our eighth annual Pratham Raleigh-RTP 5K Run/Walk on Sunday, Sept, 12, 2021:  https://t.co/4mDnt36yJA  #PrathamRaleigh  All in-person events will follow lawfully required COVID-19 health and safety protocols and adhere to CDC guidelines.  https://t.co/xfrtnvmwKP",unclear,unclear,unclear,pro-mitigation
"Report from an employee at Bickford of Oswego in OSWEGO, IL on Mar 02, 2021: ""The employer has not implemented the CDC guidelines to address the COVID-19 pandemic. The Employer failed to provide...  https://t.co/FWdNx25wIu",unclear,pro-mitigation,unclear,anti-mitigation
"If vaccine is free for bihar then other states people has to pay for vaccine  #BiharElections2020
#vacine #CovidVaccine",unclear,unclear,unclear,unclear
"So finally, Russia has officially announced about the 1st Covid Vaccine! 
Make sure next time me syllabus jitne bhi… https://t.co/0yFX0n44fL",unclear,unclear,unclear,unclear
Dog Trapped Between Concrete Walls 5 Days Hiking Dog Rescues on the Rise Service Dog Stuck in Honduras Due to CDC Guidelines TODAY'S VIDEO - Dog Rescued After Lost at Sea Daily K9 - News + Videos -   https://t.co/iKVSc2Ndrb,unclear,unclear,unclear,anti-mitigation
Biden admin to move $860M in COVID funds to house illegal immigrant children.  CDC guidelines require the agency to quarantine children upon receiving them.    https://t.co/gD5BMMjYUm,unclear,unclear,unclear,unclear
"""#AskWHO: COVID-19 Q&amp;A""  https://t.co/RuAAbf7owg
#CovidVaccine",unclear,unclear,unclear,unclear
"With the different provincial approaches to fully vaccinated people, it is time for the federal government to establish national guidelines for consistency across the country much like the CDC did in the US a number of months ago.  Time to step up . Do your job.",pro-mitigation,unclear,pro-mitigation,pro-mitigation
We must demand all of these super spreaders get put on the no fly list for breaking CDC and TSA guidelines. Any average person would be.,pro-mitigation,unclear,unclear,pro-mitigation
More People Of Color Needed In COVID-19 Vaccine Trials https://t.co/0yHTVbxS6U via #vaxnews #vaccines… https://t.co/7pyIs7SIuy,unclear,pro-mitigation,unclear,unclear
- TRUMP WAS RIGHT  #WuhanLabLeak  #FauciCoverUp #Fauci  - #ZuckerbergCoverUp #DorseyCoverUp  #CDCGuidelines  #cdc  #NPR  #cnn  -,anti-mitigation,unclear,unclear,unclear
"Hvað er rétt í þessu? Það sem ég sé rangt í  þessu er ""oftast"" ef ég ber saman við cdc guidelines  https://t.co/RlWyUxsHly",unclear,unclear,anti-mitigation,unclear
Turned off? I was absolutely offended by Trump. That didn’t influence my decision to comply with CDC guidelines when he was in office.  I don’t need a politician to inform my personal health.  I have seen no evidence of anyone not getting a vaccine because Kamala scared them.,pro-mitigation,pro-mitigation,pro-mitigation,pro-mitigation
Nurses union calls on CDC to reinstate universal mask guidelines   https://t.co/eYhp5I5KuQ,unclear,pro-mitigation,unclear,anti-mitigation
I currently follow CDC guidelines not public opinion.,pro-mitigation,unclear,pro-mitigation,pro-mitigation
"IDPH adopting updated CDC guidelines: Schools to be fully open, unvaccinated students should wear masks  https://t.co/McqWeFbSlm",unclear,pro-mitigation,unclear,pro-mitigation
"#China inactivated vaccine (#Sinopharm) seems a safe candidate that generates immune response. Here latest article,… https://t.co/InfMTgBrRK",unclear,unclear,unclear,unclear
"Russian COVID-19 vaccine not in advanced test stages: WHO 

#Covid_19 #CovidVaccine #RussianVaccine #Russia 
https://t.co/II8rUTpJmL",unclear,unclear,unclear,anti-mitigation
STUDIES SHOW MORPHINE MILLIGRAM EQUIVALENT (MME) USED IN CDC 2016 OPIOID GUIDELINES ARE BOTH BOGUS AND UNSCIENTIFIC: THEY MUST BE REPUDIATED AND WITHDRAWN  1.  https://t.co/EmEj17ze19,unclear,unclear,unclear,unclear
"Serum Institute (Denies Rumours Of Availability Of #CovidVaccine #COVISHIELD In 73 Days

Read here… https://t.co/Y6kD1XGICZ",unclear,unclear,unclear,unclear
You should attend some school board meetings here in Pennsyltucky. Parents are screaming and pulling their kids out because the boards are saying they will follow CDC guidelines about masks and they are literally losing their flipping minds.,anti-mitigation,unclear,,"anti-mitigation,anti-mitigation"
I’ve worked in pharma for over 30 years and I don’t think anyone is going to be eager to inoculate themselves or th… https://t.co/lPEU5LonBw,anti-mitigation,unclear,anti-mitigation,unclear
"Ask not why was approved but, how much it adds up. The current #corporatocracy government is the reason.… https://t.co/QSe0MI0YsZ",unclear,unclear,unclear,anti-mitigation
Stupid people should not be able to tweet. The CDC guidelines say even if fully vaxed to still wear a mask.  https://t.co/agsOJ6Ttmr,unclear,pro-mitigation,pro-mitigation,pro-mitigation
68 volunteers from three Pune based hospitals get COVISHIELD vaccine dose in the second phase of human trials… https://t.co/8zKshWboVQ,unclear,pro-mitigation,unclear,pro-mitigation
"working with as analytics partner, is publishing a white paper on delivering stable logi… https://t.co/OjBapREb3S",unclear,unclear,unclear,unclear
"Let’s all work together to #SlowTheSpread shop my handmade #facemasks before they’re gone 
MadMaskr… https://t.co/kgR6dL5EMy",unclear,unclear,pro-mitigation,pro-mitigation
"COVID-19 Vaccines Won't End Pandemic, Unless Delivered Equitably: Bill Gates

#Covid_19 #BillGates #pandemic… https://t.co/sh6jpclXDB",anti-mitigation,pro-mitigation,anti-mitigation,pro-mitigation
"Reopening schools within the first 100 days was one of his major policy goals. He pushed the CDC to go against the science and relax their guidelines on schools to allow him to do it, *and* he completely misrepresent their findings, lying and saying it was safe.",pro-mitigation,anti-mitigation,pro-mitigation,pro-mitigation
