text,annotation_112,annotation_113,annotation_115
There's no doubt about! The CDC guidelines have directly affected me and my pain management doctor. how many more pain patients have to commit suicide before the CDC stand up and admits it was wrong and puts an end to the suffering of Millions?  https://t.co/IOrvbbpuhZ,unclear,anti-mitigation,anti-mitigation
Can this be the game changer...lets hope #CovidVaccine #Corona #vaccine https://t.co/lYMA1VNBBd,unclear,unclear,pro-mitigation
"No Known Data on Quality, Efficacy and Safety of Russian #COVIDVaccine: Germany.

https://t.co/RoMkvbgKMO",unclear,anti-mitigation,anti-mitigation
Less than Texas Freeze where natural gas companies made record profits most likely. We know that vaccinated people are less likely to need to be hospitalized or to die from COVID. CDC guidelines don't even require them to quarantine as people they met with aren't at risk,pro-mitigation,pro-mitigation,pro-mitigation
"Russia skips COVID-19 vaccine trial, says millions to be vaccinated this month
#russiavaccine 
#CovidVaccine
https://t.co/kMzfA4uGlz",unclear,pro-mitigation,unclear
Serum Institute Of India starting phase 2 trails of the Oxford-AstraZeneca vaccine this week. 10 centres short list… https://t.co/E6uER9A4aT,unclear,pro-mitigation,pro-mitigation
Those that suffered through long COVID went through an entirely different experience than most. Those dealing with long COVID can stay up to date with the latest CDC guidelines regarding their condition by using the link below. #Chicagoland #Nashville  https://t.co/79hpNk3OOz  https://t.co/1TFRIcJOd7,pro-mitigation,pro-mitigation,pro-mitigation
"CDC guidelines still say if you’re fully vaccinated, you do not need to mask or socially distance &amp; need to mask only if local laws require it. I was a strict mask wearer but I have stopped wearing one because I trust the science &amp; it says we don’t need masks if fully vaccinated.",pro-mitigation,pro-mitigation,pro-mitigation
#Oxford and #AstraZeneca's #COVIDVaccine trial is put on HOLD as British volunteer has 'serious' reaction 'that tri… https://t.co/g0gjZHoDRh,unclear,anti-mitigation,pro-mitigation
"Operation warp speed #CovidVaccine  Not for me!

https://t.co/SUOO0BaESG",unclear,unclear,anti-mitigation
"CDC is leaving it up to states to set guidelines for mask wearing, director says  https://t.co/Et8cYnndp5 via CNBC #news #CNBC",unclear,pro-mitigation,pro-mitigation
Do you agree with California’s decision to diverge from CDC Guidelines and enforce the mask mandate in schools?,unclear,pro-mitigation,unclear
"Good news on the race to find the Covid vaccine, scientists plead for transparency to gain the public's trust.… https://t.co/az7FlK2pVF",unclear,pro-mitigation,pro-mitigation
"InquiScitive presents 'The #Students' Perspective on #Covid_19 situation in India' in 3 days !
For more discussions… https://t.co/mhfdan8enX",unclear,unclear,unclear
"Upon further research, the aircraft was a corporate jet operated under Part 91 and not subject to the CDC guidelines. They didn't break any laws.",anti-mitigation,unclear,pro-mitigation
"dont predict future ...
he is blo0dy time traveler 😭😭😭😭😱😰 

bhai...#CovidVaccine kab aayega yeh bhi ba… https://t.co/Cd4mBvWCmK",unclear,unclear,unclear
CDC guidelines call for masks and spacing for kids as they return to school this fall,pro-mitigation,pro-mitigation,pro-mitigation
"Putin claims to have discovered #CovidVaccine out of nowhere.
#RussianVaccine 

Scientists at oxford be like - https://t.co/L7LAUE26f1",anti-mitigation,unclear,unclear
"Russia approves World’s first COVID-19 Vaccine
#CovidVaccine #CoronavirusVaccine #COVIDー19 #RussianVaccine #vaccine… https://t.co/ppf4QupAhj",unclear,pro-mitigation,unclear
"Those are CDC/WHO directives as explained by the Illinois public health director. But yes, I agree, their  guidelines were cherry 🍒 picked perfectly to fit and drive their narrative.",unclear,unclear,pro-mitigation
Not to mention many of us had no choice but to get AZ because the US was hoarding mRNA vaccines and not allowing deliveries…either way CDC guidelines also says (in fine print) that WHO approved (AZ) also acceptable.,unclear,pro-mitigation,anti-mitigation
#WHO #Covidvaccine drive bedevilled by familiar question: Who pays if things go wrong? https://t.co/KsSeI9nD8B,anti-mitigation,unclear,unclear
Good round-up of current #CovidVaccine techniques and candidates: https://t.co/UzguZSRFyt,unclear,pro-mitigation,unclear
“In this pandemic there is an opportunity cost to a #vaccine that is less than optimally effective.” Peter Marks ex… https://t.co/AKwK2xAcE2,anti-mitigation,anti-mitigation,unclear
Technically the world’s first #CovidVaccine is ready ! #RussianVaccine https://t.co/BeuayMsdUw,unclear,pro-mitigation,pro-mitigation
"Any #CovidVaccine that is fast tracked to drop just in time for the election, is a big NO from me.… https://t.co/Dnv8yMijuA",unclear,unclear,anti-mitigation
"Wow.

Portlanders are being recruited for phase 3 clinical trials for a potential #CovidVaccine, w/ injections to b… https://t.co/AzVPRg0x1r",unclear,unclear,pro-mitigation
"They follow the guidelines from the CDC, the Centers for Democratic Control. 🙄",anti-mitigation,anti-mitigation,anti-mitigation
Someone please come up with a vaccine or let me know the deadline of how long I am supposed to over eat? I am kinda… https://t.co/7jxqlEPpj3,pro-mitigation,unclear,unclear
"Corona Update in India!
Total Confirmed:2.86M
Active Cases:0.69M
Total Recovered: 2.12M
Total Deaths:54237
Updated… https://t.co/ABHhcUgH8O",unclear,pro-mitigation,unclear
Followed cdc guidelines.  He waited as long as he could.  Cdc messed up when they put out their guidelines,unclear,anti-mitigation,pro-mitigation
Dr. Harris says they are working to offering drive thru clinic options for flu vaccines. He tells me this is to hel… https://t.co/IElD33nSTT,unclear,pro-mitigation,pro-mitigation
"I’m scared as hell myself my husband, I  our middle &amp; youngest son have been vaccinated, however due to CDC guidelines our oldest son  with severe asthma cannot be bc he has no ID &amp; can’t get an appointment at DMV to  get one😡",pro-mitigation,pro-mitigation,pro-mitigation
"NYC doesn't have plans to change its current mask-wearing policy in schools and adhere to recently updated guidelines from the CDC, Mayor Bill de Blasio said Monday.  https://t.co/x9DXUHRwBn",unclear,pro-mitigation,pro-mitigation
Newly published protocols from OSHA and the EEOC follow the latest CDC guidelines toward vaccinated individuals working in the healthcare industry. Zack Anstett’s latest blog post discusses “COVID-19 and the Workplace: Where are we now?”  https://t.co/GsltBEXDx4  https://t.co/OjMNfDXCPj,unclear,pro-mitigation,unclear
"Right, somehow unvaccinated inserted themselves into the CDC guidelines about not masking. That’s why I never stopped.",pro-mitigation,unclear,pro-mitigation
When are you going to align with state and CDC guidelines and remove the mask mandate for vaccinated individuals. Would really love to enjoy the library without being told I need to wear a mask.,pro-mitigation,pro-mitigation,pro-mitigation
"My 11y/o can’t be vaccinated and CDC guidelines say masks are “recommended…” with a million caveats. This vulnerable, unvaccinated population must be mandated to wear masks in school unless medically unable. Districts are punting. Please strengthen guidance to keep &lt;12 safe!",anti-mitigation,pro-mitigation,pro-mitigation
BREAKING! Trump Administration Says VACCINE NOT MANDATORY!!!… https://t.co/Kni5fVc6Q9,unclear,anti-mitigation,unclear
Rate of hesitancy isnt astronomically high. Thay are as normal as ever with any other vaccine  Bogus numbers by CDC reporting guidelines been revised. We are nowhere close to announced death toll. Pay attention at small print on CDC site,anti-mitigation,anti-mitigation,pro-mitigation
"Latest #coronavirus #COVID19
Stats. Lots of hot spots but a slow decrease as a positive. #CovidVaccine
Trials takin… https://t.co/WOQZbQaRhV",unclear,pro-mitigation,pro-mitigation
"Hmm, what’s wrong with adhering to manufacturer and FDA/CDC guidelines? I wouldn’t want to mix vaccines and be denied entry into some country in the future.",pro-mitigation,pro-mitigation,anti-mitigation
"Top U.S. &amp; World Headlines — September 3, 2020 https://t.co/APtBVKsJA7 via #CDC #coronavirus #covidvaccine… https://t.co/xJxonpPISW",unclear,unclear,unclear
Have a read of my latest blog: Will COVID-19 transform global healthcare? Would love to hear what you think.… https://t.co/W5DSwd6gRY,unclear,unclear,unclear
So what happened to following CDC guidelines all the way?,unclear,unclear,unclear
"double blind trial for a tested,safe, antibody-producing… https://t.co/RhJrCMub4P",unclear,unclear,unclear
And then today on Facebook I saw that someone I went to high school with overdosed on fentanyl. We follow CDC guidelines and monitor opioid prescriptions for a reason. #OpioidStewardship,pro-mitigation,unclear,pro-mitigation
"Today: “Russia says medics to get anti-Covid shots in two weeks, rejects safety concerns” #Covidvaccine #Covid

The… https://t.co/SaZCspcXsE",unclear,pro-mitigation,anti-mitigation
Because this tweet is literally in everyone’s business in the first place. If she wants to wear her mask that’s her business and doesn’t have to make it everyone else’s who is just following CDC guidelines,anti-mitigation,pro-mitigation,pro-mitigation
Almost twice as many people could die from COVID-19 if rich countries buy the first two billion doses of vaccine.… https://t.co/hbHaFIeOY8,anti-mitigation,unclear,anti-mitigation
"#CovidVaccine Rushed to get trump reelected, a hurried vaccine could result in a cruel disaster such as Thalidomide… https://t.co/Bklk9bmEVX",anti-mitigation,anti-mitigation,pro-mitigation
I am fully vaccinated and took 2 dose of  covishield by AstraZeneca. Is covishield recognised in the USA and am I considered fully vaccinated under CDC guidelines?,pro-mitigation,pro-mitigation,pro-mitigation
"India's COVID tally crosses 29L-mark, toll nears 55K
#India #CoronavirusVaccine… https://t.co/lhGe3fIvgi",unclear,unclear,pro-mitigation
Oh Rings a bell. Didn't &amp; also tell us going to… https://t.co/v67CziRwIF,unclear,unclear,unclear
One of the #CovidVaccine test participants has died 🥺WTF! was producing it. I guess this is why… https://t.co/O75m9PFmed,anti-mitigation,unclear,anti-mitigation
"#covidvaccine more than the reasons for clinical halt, what was really damaging is how AstraZeneca handled it: 
sec… https://t.co/VUgifCTe9e",unclear,pro-mitigation,anti-mitigation
Hope you will bring relief for billions back at home. Go… https://t.co/3acgZDU5YX,unclear,unclear,pro-mitigation
"A glimpse into [their] playbook.

There's absofuckinlutely NO way am I receiving this DNA-altering vaccine. It's a… https://t.co/aeUlKX2djD",anti-mitigation,anti-mitigation,anti-mitigation
We are carefully following all CDC guidelines in order to keep you and your loved ones safe while also caring for your teeth.  #serenedentalcenter #serenedental #dentalcenter #dentist #oralhealth #dentalpractice #smile  https://t.co/VB0frqnEZw,pro-mitigation,pro-mitigation,pro-mitigation
So many things can go wrong in Trials...no hard n fast… https://t.co/qtC26WPTTh,unclear,unclear,unclear
The CDC is leaving it up to local officials to set mask-wearing guidelines as the highly contagious delta variant spreads in areas with low vaccination rates.  https://t.co/nlMdzyjmuM,pro-mitigation,pro-mitigation,unclear
"Just as good as the CDC guidelines, which absolutely no one follows.",anti-mitigation,anti-mitigation,unclear
"Thanks I’m #FeelingGood with the new #CovidVaccine #Fauci had whipped up. 

#COVID19 #Warpspeed to… https://t.co/7cxGxw4T0A",unclear,pro-mitigation,pro-mitigation
I repeat my tweet few days back with dr.Tedros quote.Nation must have good #COVIDー19 #vaccines protocol soon. Moreo… https://t.co/yj0XC8PT1C,unclear,pro-mitigation,unclear
"Hi! As more people in the US and around the world start getting fully vaccinated, we’re optimistic about getting back together in person. We’re encouraging users to follow CDC/WHO guidelines. Feel free to check out our IRL safety guidelines:  https://t.co/l9YhT9Rgcv",unclear,pro-mitigation,pro-mitigation
The CDC guidelines aren’t outdated (especially with the Delta variant spreading in all 50 states). You’re outdated. Bigly,pro-mitigation,unclear,anti-mitigation
"Vaccine expert Paul Offit outlines the reasons why American public may be unfortunately ""skittish"" about much neede… https://t.co/HP9ZYMnF1s",unclear,anti-mitigation,pro-mitigation
"Don't worry Australia, the vaccine is doing great in testing. #CovidVaccine #COVID19Vic #auspol #melbournelockdown https://t.co/fphbGNDdyI",pro-mitigation,pro-mitigation,pro-mitigation
“The hospital has not admitted a child that has been vaccinated.”   This is caused by right-wing refusal to follow CDC guidelines. They are letting the kids die so they can go on being unvaccinated and unmasked because they are…republicans?,pro-mitigation,anti-mitigation,anti-mitigation
Question about mask mandates and other guidelines for returning students this fall. Education Secretary Dan French says he's reviewing new CDC guidance ( https://t.co/s6zreThdML) and will have VT-specific guidance coming out in August.,unclear,pro-mitigation,pro-mitigation
"Putin after Russia developed #CovidVaccine
#RussianVaccine https://t.co/QG3opxxpym",unclear,unclear,unclear
I am so sorry 💔.  Are you aware of the study looking at the suicides of those that have been impacted by CDC guidelines?  I am so so sorry,anti-mitigation,unclear,unclear
The #CCP is forcing people! A drugmaker in China has given experimental Covid-19 vaccines to hundreds of thousands… https://t.co/Dk5rj7n3dd,anti-mitigation,anti-mitigation,anti-mitigation
Epik1 “Corona De Dios” Prod Sharing my personal insight on this whole pandemic going on..… https://t.co/HNtffvn7Jz,unclear,unclear,unclear
"😱Injected with Covid19 | Coronavirus Vaccine Trial

We bring to you an exclusive interview with Varsha Srinivas fro… https://t.co/8WmvpJgH2g",unclear,pro-mitigation,unclear
"Column: COVID-19 vaccine must gain minority acceptance https://t.co/gJLuuQwpQE via 
--
#vaxnews… https://t.co/1l2VtwBTG2",unclear,unclear,unclear
"Good news for REALTORS®! Cold calling is back effective tomorrow. CDC guidelines such as mask requirements for unvaccinated individuals, do remain in effect. You can read about these guidelines and what it means for real estate licensees in NY by visiting  FAQ page.  https://t.co/iJDv86qMi6",pro-mitigation,pro-mitigation,pro-mitigation
And the official lists are compiled via the guidelines dictated from the WHO/CDC. Which is not odd in any way...sometimes a statistically normal 18 months of deaths happen in 12 months. Sometimes 12 months of normal deaths take 18 months. But we didn't shut down the planet. 🤷‍♂️  https://t.co/U8M4GV2AlV,unclear,anti-mitigation,pro-mitigation
"How it's gonna work?? Will it as simple as mentioned here 🤔🤷
#CovidVaccine 

How to secure India against Covid-19 -… https://t.co/HOl8bkpCZN",unclear,unclear,unclear
"Translation :  will provide vaccines.  

#SonuSoodRealHero #NirmalaSitharaman… https://t.co/ynm0uNczCJ",unclear,unclear,unclear
and developing the #COVID19 #CovidVaccine #vaccine #EricTrumpMeltdown #EricTrump… https://t.co/Sj6VjbEX6m,unclear,unclear,unclear
The CDC is leaving it up to local officials to set mask-wearing guidelines as the highly contagious delta variant spreads in areas with low vaccination rates.  https://t.co/jFXdpm3DES,pro-mitigation,anti-mitigation,unclear
"Here is Australia's strategy. India's planning too on #CovidVaccine, but shouldn't the authorities publish the… https://t.co/GGCouwYPND",unclear,unclear,pro-mitigation
"#COVIDVaccine 

state and local governments are on the frontlines.  #COVID is an unprecedented event.… https://t.co/PrMS5Yk632",unclear,unclear,pro-mitigation
Experts at have developed a DNA-based vaccine for COVID-19 that would be administered through the skin… https://t.co/TJYIVjduwP,unclear,pro-mitigation,unclear
And the is right. I applaud their common sense guidelines,pro-mitigation,unclear,pro-mitigation
Prescriptions for Opiate Based PainMeds are at 20-year lows. Supply of PainMeds have been CUT 50%. DEA Overreach &amp; CDC Guidelines REMOVED Physician Autonomy. Patients can not get their meds There is NO “Dramatic Increase in Death from Prescribed analgesics” Fentanil OD? UP 500%💉,pro-mitigation,unclear,unclear
"amazes me still that this bunch of arrogant  rightwing real estate developers thumb their nose at basic cdc covid guidelines , the “ bible school “ is simply horrifying.",pro-mitigation,anti-mitigation,pro-mitigation
#CovidVaccine We are not ready yet. CDC will release and may make it mandatory before Phase 3 testing based on an E… https://t.co/mCslaygQxg,unclear,unclear,pro-mitigation
How do we learn to live with #COVID19 if we're still waiting for a #CovidVaccine a year from now? I put that questi… https://t.co/genMl3jnTX,unclear,pro-mitigation,anti-mitigation
I often wonder if my good friend would still be alive if TFG hadn’t purposely pushed against CDC guidelines. Can you imagine how many American lives would have been saved if he exhibited true leadership?,pro-mitigation,unclear,anti-mitigation
"Is Altimmune (ALT) stock a buy right now?
$ALT #Altimmune #biotechnology #healthcare #COVID19 #earnings #stocks… https://t.co/nGYYYMm78y",unclear,unclear,unclear
me in front of Liza Minnelli's house wen the pandemic is up and the CDC gives guidelines saying its safe to lick the sidewalk again  https://t.co/t3xSWexKBF,anti-mitigation,unclear,unclear
to produce up to an additional 100 million #CovidVaccine doses for India and low and middle-income… https://t.co/u3aL6WvKPS,unclear,unclear,pro-mitigation
"Sorry,Our president Joe Biden and CDC back these guidelines as far as the immuno compromised they have the responsibility to isolate and for the Trump supporters who refuse to vaccinate that’s on them and for children under 12 who don’t get vaccinated they should wear a mask.",anti-mitigation,pro-mitigation,pro-mitigation
"its illegal for parents to keep children out of schools.   the AFT, objectively, kept schools closed for covid with 0 scientific reasoning to justify that. the CDC admitted to allowing the AFT to make the call and write the guidelines.",anti-mitigation,pro-mitigation,unclear
One thing Royal is doing to ensure customers are vaccinated on FL departures is making non-vaxxed cruisers pay for testing onboard and wear masks. Vaxxed cruisers can forgo masks and testing per CDC guidelines.,unclear,pro-mitigation,pro-mitigation
I think we need to get more vocal than the asshats who are pushing anti-masking. We need a coordinated effort to push people to follow CDC guidelines.,pro-mitigation,pro-mitigation,pro-mitigation
"#COVID19 #CovidVaccine
Immune Boosting Foods - Natural Ways To Improve Immunity https://t.co/rJW8272hLH",unclear,pro-mitigation,unclear
Loved this conversation! Especially because of Bihari accent 😊 #bihar #hindi #CovidVaccine https://t.co/DCKwBnJnwa,unclear,unclear,unclear
It is. She stated NM will still be following CDC GUIDELINES for masking. #UNMASKOURCHILDREN,anti-mitigation,pro-mitigation,unclear
"California Will Keep Requiring Masks in Schools, Despite New CDC Guidelines  https://t.co/QwdUNy8hV2",pro-mitigation,pro-mitigation,pro-mitigation
Detailed review article on the humoral and cell mediated immune responses induced by SARS Cov2 and how phase 3 vacc… https://t.co/7YtJWrRcam,unclear,pro-mitigation,unclear
What the clinical trials will and won't tell us about the effectiveness of potential COVID-19 vaccines...… https://t.co/9vBqHXovXD,unclear,anti-mitigation,unclear
"It's all about choosing the softest, most tangible and vulnerable targets when your the DEA and the CDC; The former needs the Cartels to exist, and the latter has branded it an ""epidemic,"" so hence their fraudulant involvement; Have you read the 2016 CDC ""Guidelines?"" HOLY SHIT.",anti-mitigation,anti-mitigation,anti-mitigation
"Tafrishaala Prime Time : 
.
.
.
.
 #PUBG 
#ChineseAppsBanned
#us
#india
#business
#covid19
#covidvaccine… https://t.co/fW4jnx69U2",unclear,unclear,unclear
Only thing the vaccine is going to do is give you the fly hairs growing on your back. #BrundleFly #CovidVaccine,anti-mitigation,unclear,anti-mitigation
"Anyone else loo at the latest surge in COVID cases and just kind of sigh and shake your head? This was inevitable. CDC relaxed the mask recommendation WAY too early. A large part of it is people not getting vaccinated, but I knew this would be the result of loosening guidelines.",pro-mitigation,anti-mitigation,anti-mitigation
Coronavirus: China has been giving potential vaccine to key workers since July https://t.co/qdeVAKcCfG #COVID19 #COVID_19 #COVIDVaccine,unclear,unclear,unclear
AstraZeneca which had the lead in developing a #CovidVaccine in Europe holds on its reseach after 1 te… https://t.co/pjAN3hAagg,unclear,pro-mitigation,pro-mitigation
"You are advocating the adherence to FDA guidelines designed to insure each new medicine is studied beyond all doubt, but dismissing FDA guidance that these vaccines are safe/effective while dismissing the CDC altogether. Sorry, man, that’s too tangled",pro-mitigation,anti-mitigation,pro-mitigation
Was the first trying to warn us about something 🤔  #CovidVaccine #implants https://t.co/dZTOGB0p1C,unclear,unclear,unclear
Collecting safety and efficacy data from all populations at risk is imperative- including people who are pregnant o… https://t.co/m0flpPoaY3,pro-mitigation,pro-mitigation,unclear
"Yeah good point, in that case I’ll just go with the DIY cloth mask since it’s panacea and not subject myself to a useless vaccine since I’m not a big fan of needles — I’m sure you ignore plenty of CDC guidelines too though  https://t.co/g0WURxIIg2",pro-mitigation,anti-mitigation,anti-mitigation
"Glad to hear there is still room for change. As it stands, no mask for vaccinated people seems fine and in accordance with CDC guidelines. If there are changes like Delta variant or booster requirements it is good that you are still open to further changes. Appreciate the effort!",pro-mitigation,pro-mitigation,pro-mitigation
"IN ORDER TO SELL YOU WEAPONS, THEY CREATE WARS. IN ORDER TO SELL YOU CHEMOTHERAPY, THEY CREATE CANCERS. AND IN ORDE… https://t.co/32dEhgFIO8",anti-mitigation,unclear,anti-mitigation
"The shit facilities are doing with covid+ pts is garbage but they're ""following CDC guidelines"". My facility doesn't test staff other than with janky thermometers, and it's literally an act of God to get patients tested. Oh and full visiting hours.",anti-mitigation,anti-mitigation,anti-mitigation
CDC Updates Guidelines To Protect Kids From COVID In School. Plus: Vacation Tips  https://t.co/Qa3TcCSRSU,pro-mitigation,pro-mitigation,pro-mitigation
New CDC school guidelines for K-12 doubles down that unvaccinated children stay masked. We must make sure our schools and local officials know that CDC isn’t law. That common sense is divergent from their guidelines. Stand up now or face a generation raised to disconnect. #unmask,anti-mitigation,pro-mitigation,anti-mitigation
This needs to be shared with any loved ones considering taking the #CovidVaccine. Long-term safety will not be done… https://t.co/iuITnpYIc7,anti-mitigation,anti-mitigation,anti-mitigation
"Centre mulls 'Mission COVID Suraksha' with Rs 3,000-crore corpus

Aim of the mission is to accelerate development o… https://t.co/Az1CIzQhW2",unclear,pro-mitigation,unclear
"I've contacted an attorney for legal advice. My hope is that we can at least get a mandate for following CDC guidelines which state elementary kids should wear masks. I think a lot of us feel powerless right now. The ""masks attack our freedoms"" crowd is vocal. We need to be, too.",anti-mitigation,pro-mitigation,anti-mitigation
"People who are fully vaccinated can travel within the U.S., according to updated CDC guidelines announced on Friday.  https://t.co/gcSa5MhcS2",pro-mitigation,pro-mitigation,pro-mitigation
Why are you reporting this like a fait accompli? You gave response 2 seconds on the afternoon… https://t.co/4j0VMElLJp,unclear,unclear,unclear
"The #RapistInChief (#Trump) doesn't really know what he is taking about when talking about a #CovidVaccine.

#PresidentialDebate2020",unclear,unclear,unclear
"https://t.co/H18xbGdsoh
Please sign our petition to support #hb5016 &amp; protect religous freedom in VA… https://t.co/TXI3nwD5N1",unclear,anti-mitigation,unclear
"morality is a middle class idea

Controversy around Oxford’s  #CovidVaccine  

 in Australia some clerics raise con… https://t.co/4mhNsr7QQG",unclear,anti-mitigation,unclear
I'm still not wearing a mask anymore. It's a personal preference for me. I'm not violating cdc guidelines. If a place says I need to wear one I'll respect it but if they don't I won't.,pro-mitigation,pro-mitigation,anti-mitigation
"#NEET postponement appeal is rejected by #SupremeCourt
When humanity is within striking ra… https://t.co/Rx8E01j6Ga",unclear,unclear,anti-mitigation
US's largest registered nurses union calls on CDC to bring back universal mask guidelines #SmartNews  ⁦  https://t.co/4LyPAi5cvc,pro-mitigation,pro-mitigation,pro-mitigation
A Charlotte flight bound for the Bahamas was canceled after a group of students from Boston refused to follow CDC guidelines.   https://t.co/ZcFx9Gnqxu,pro-mitigation,pro-mitigation,unclear
"Three COVID-19 vaccines are currently under trial in India.


#COVID19 #COVID_19 #COVID… https://t.co/hC7hRLJQ5M",unclear,pro-mitigation,pro-mitigation
Big Pharma does the right thing re #COVIDVaccine safety and politely but unmistakably tells #POTUS  to pound sand o… https://t.co/KpbdHp876f,unclear,unclear,pro-mitigation
"Powerful video For civil engineers.
.
.
.
#construction #civilengineeringstudent #constructionsite #civilengineer… https://t.co/u4qtDQd8lz",unclear,unclear,unclear
ask here if the slaves from Texas followed cdc guidelines???  Mask on a plane and it’s turned into super spreader event,anti-mitigation,unclear,anti-mitigation
"bro you don't even have a stance you contradict yourself every other sentence, you go off cdc guidelines or you dont? I mean you obviously don't know what someone being facetious is.. so bum, since he was positive on the 21st is 3 days enough quarantine time or no?",pro-mitigation,unclear,unclear
