,text,label
41,GDC & CoreCivic Prisons Covid Release Must Happen Immediately: Save Our Loved Ones!!!,pro-mitigation
42,Bring back some flight services to Queenstown,anti-mitigation
43,Governor Raimondo: Allocate federal COVID-19 relief funds to save RI small businesses NOW.,pro-mitigation
44,CANCELLATION OF DU EXAMINATIONS,pro-mitigation
45,"Covid-19 Support for Entrepreneurs, Consultants & Gig Economy & Part-time Workers",pro-mitigation
46,Open Smaller Gyms in Ontario,anti-mitigation
47,Les 10 réclamations urgentes pour lutter plus efficacement contre le COVID-19 en Belgique,pro-mitigation
48,Let 27 North Residents Cancel Their Lease Contracts Amid COVID-19,pro-mitigation
49,Faith in our ADOM Schools,unclear
50,CoronaVirus - Coventry University deadline extension,pro-mitigation
51,To get the Summit Athlete Gift-Bags,unclear
52,"Cheerleading,  Dance and amateur sports clubs to be included in Covid 19 Announcements",pro-mitigation
53,University of San Diego changes courses to online due to the spread of COVID-19,pro-mitigation
54,Father is dying from Covid19 & Plasma is his only hope and hospital won’t give it to him!,anti-mitigation
55,Stop companies Profiteering from £120 Private Covid-19 Testing!,pro-mitigation
56,Suspend Mortgage & Rent Payments in Maryland During COVID-19,pro-mitigation
57,Yoga Studios Are Not Gyms,unclear
58,"Save the dagwood dog guy,",unclear
59,Stop all animal transports during covid-19,pro-mitigation
60,"ОСТАНОВИТЬ РЕПРЕССИИ, ОСВОБОДИТЬ ПОЛИТЗАКЛЮЧЕННЫХ И  ЗАДЕРЖАННЫХ ПО ПОЛИТИЧЕСКИМ МОТИВАМ",unclear
61,Ensuring the safety and Respect of healthcare professionals in current pandemic scenario,pro-mitigation
62,Indiana for the Safe Return to Schools,anti-mitigation
63,Close Chipotle during COVID-19,pro-mitigation
64,Keep children out of school during the COVID-19 crisis,pro-mitigation
65,Save the fitness Industry from the economic effect of Covid 19,anti-mitigation
66,Petition to Reopen NYS Gymnastics Clubs,anti-mitigation
67,Implement a No Detriment Policy for University of the West of England,pro-mitigation
68,"Suspend rent, mortgage and utilities bill of Texas",pro-mitigation
69,Let these military pets come home!,unclear
70,Ontario MRTs/DMSs united to get the respect/recognition we deserve. COVID-19 Pandemic Pay,anti-mitigation
71,#CancelofflineexamsinKA,pro-mitigation
72,Spotlight on NJ Unemployment Lag during Covid-19 Shutdown!,pro-mitigation
73,SAVE THE CUNY STUDENTS,unclear
74,Urging the CSWE to reconsider field practice hour waiver due to the government shutdowns,pro-mitigation
75,McConnell and Schumer: Make it Monthly Stimulus Checks & Support the #PeoplesStimulus,pro-mitigation
76,NSFAS should provide students with Laptops to study during this pandemic of COVID 19,pro-mitigation
77,Declare Digital Learning plan for Education deprived school children of Rural Maharashtra,unclear
78,National Poetry Library SOS #NPLSOS,unclear
79,Make Ryerson courses pass/fail,pro-mitigation
80,Petition for PDPU to take prevention against COVID 19,pro-mitigation
81,GOVERNMENTS TO BAN ALL WET MARKETS-STOP ANOTHER COVID 19 OUTBREAK,pro-mitigation
82,"Gov. Kemp, Save Lives, Let Our Cities Mask!",pro-mitigation
83,No Colleges until Zero Covid Case in the State or until Vaccines are out,pro-mitigation
84,Stop Sussex from Sacking their Staff! Covid-19,pro-mitigation
85,PROTECT  OREGON  INMATES  FROM  CORONAVIRUS (COVID19),pro-mitigation
86,Contra o FIM da Saúde Pública Federal no Rio de Janeiro,pro-mitigation
87,A year tax free after the pandemic for all key workers who had to work through covid 19,pro-mitigation
88,KEEP GYMS OPEN IN CT,anti-mitigation
89,President Rule in Bihar,unclear
90,Make Covid19 tests available to care staff working with vulnerable elderly people in care,pro-mitigation
91,Open Outdoor Youth Sports Activities in Massachusetts,anti-mitigation
92,Travel Ban on US & Europe,pro-mitigation
93,Make all UWL (online next because of Covid-19) classes pass or fail for this semester,pro-mitigation
94,Ask Concordia University to Suspend All In-Person Instruction,pro-mitigation
95,Major retail chains should provide free home delivery to those most at risk from Covid-19.,pro-mitigation
96,"Continue to Subsidize Child Care, in Texas, during the Covid 19 pandemic",pro-mitigation
97,Advice the government of Botswana to temporarily close down schools amid covid 19 outbreak,pro-mitigation
98,COVID BCG Vaccine must start in countries with highest cases of infections NOT in Africa.,anti-mitigation
99,Governor Jay Inslee to forgive Rent/Mortgage in Washington State for 90 days,pro-mitigation
100,ATTN Governor Baker- Open Mass Training studios and Personal Training Safely ASAP,anti-mitigation
101,Pace University Petition - COVID-19 Pandemic,unclear
102,Pay NYC substitute para professionals during COVID-19 School Closures,pro-mitigation
103,A plea to the Universities during the time of this Pandemic,unclear
104,NO NASHVILLE GOP CONVENTION,unclear
105,Support BGU Students during Covid-19,pro-mitigation
106,HELP NS Veterinary Clinics Stay Open‼️,pro-mitigation
107,SNP MP Margaret Ferrier resign after travelling to London with a positive COVID test,pro-mitigation
108,Start drive-through community-based COVID-19 assessment centres provided by our Labs!,pro-mitigation
109,Promotion Of AKTU College Students to Next Semester Without Exam.,pro-mitigation
110,"Guarantee PPE availability for healthcare workers, both in government and private sector",pro-mitigation
111,University of Guelph COVID-19 - Move Classes Online,pro-mitigation
112,Get Finals Moved to Online Due to Corona Virus (COVID-19),pro-mitigation
113,“Freeze Rent and Mortgages during Covid-19”,pro-mitigation
114,UVM COVID 19 Protocol,pro-mitigation
115,Compensate Fees after Closure of Universities due to Covid-19 Pandemic,pro-mitigation
116,No MAGA Mural in Petaluma!,unclear
117,"Petition to Freeze Rent, Mortgage, & Utility Bills During Covid-19 Pandemic",pro-mitigation
118,Cancel all further exams due to instability caused by COVID-19,pro-mitigation
119,Utah: Require Insurers to Pay COVID-19 Business Interruption Claims for Restaurants,anti-mitigation
120,Halt all catalogs sent through USPS for the 3 weeks leading up to the election,pro-mitigation
121,School safety.,unclear
122,"Partial tuition refund for students at Greengates, due to online classes.",pro-mitigation
123,Fund & Restore the SBA EIDL to help small businesses and gig workers affected by COVID-19.,pro-mitigation
124,No Karnataka CET in July,pro-mitigation
125,PETITION FOR ACADEMIC EASE,unclear
126,Demand Adequate Pay for Actra Toronto Members Completing Required COVID Testing,pro-mitigation
127,Protest against petroleum fuel price hike in India,anti-mitigation
128,Objection to Notice dt-12th Feb 2021 issued by Panvel Municipality for Property tax,unclear
129,Allow cancer patients to access treatment and clinical trials - please do not donate,unclear
130,Cancel Deanza Classes Amid Coronavirus Outbreak (COVID-19),pro-mitigation
131,Reopen pools now,anti-mitigation
132,Cancel B Tech Exams for intermediate semesters -KTU,pro-mitigation
133,LET US PLAY,unclear
134,Stop the deportation of Australian mothers and their children into abusive situations,unclear
135,AMEND the Law Indicating 3% Philhealth Premiums for Physicians and 0​.​5% Yearly Increase,unclear
136,Re-enact mandatory indoor masking as a basic public health measure.,pro-mitigation
137,Reschedule Class of 2020 Events!,anti-mitigation
138,Pass/Fail Grading Option at the University of South Carolina for this Semester,pro-mitigation
139,Addison Davis must RESIGN Immediately,anti-mitigation
140,Haramkan penggunaan dan penjualan rokok elektronik dan vape di Malaysia,unclear
141,Pelo Lockdown em TODAS cidades com +150​.​000 habitantes,pro-mitigation
142,Clemency for Bryon Russ,pro-mitigation
143,"Moderna, Pfizer, and CureVac: Ensure we can end the Pandemic. Help others produce Vaccine",pro-mitigation
144,Stop travel to rural holiday destinations in UK during Covid-19,pro-mitigation
145,Cerrar canal de SOY DAVID SHOW por violar cuarentena COVID-19,pro-mitigation
146,"Build bike lanes on Bloor, Danforth & Yonge now",unclear
147,REISEWARNUNG AUFHEBEN! - Mallorca is NO RISK zone.,unclear
148,ALL EXAMS / TESTS TO BE ONLINE,pro-mitigation
149,"Cherokee Co. Sheriff Spokesperson, Capt. Jay Baker Must Go!",pro-mitigation
150,The German government should cancel rents for international students till CoVid19 is over.,pro-mitigation
151,Petition for Online Teaching in LSE under COVID-19 Threat,pro-mitigation
152,Smaller Nonprofits Need Help Now To Survive COVID-19,pro-mitigation
153,Make CUSD Schoolwork Optional Due to COVID-19 Pandemic,pro-mitigation
154,Replacing the COVID Awareness Caller tune with Mayur Jumani's Remix version,anti-mitigation
155,Australian Dept of Education Duty of care failures COVID 19,anti-mitigation
156,Health care workers and Covid-19,unclear
157,"Indian Doctors battling COVID lack PPE, while IPL pays cricketers millions of dollars",anti-mitigation
158,Illinois  Schools Should Void 4th Quarter Grading and Pass All 2019/2020 Classes,pro-mitigation
159,"Help undocumented immigrants
during the COVID-19 crisis",pro-mitigation
160,Make UNF give us refunds for housing/ dining if we are forced to leave again due to covid,anti-mitigation
161,Change UT to a Pass/Fail grading system (with a letter grade option) for Spring 2020,pro-mitigation
162,Front line workers deserve hazard pay from Danbury and New Milford Hospital.,pro-mitigation
163,Regarding UC Irvine's Decision to Cancel 2020 Commencement,pro-mitigation
164,"IDPH, Cheerleaders Are Athletes! COVID-19",anti-mitigation
165,"Stop the spread of COVID-19: Cancel the 7/11/20 Trump rally in Portsmouth, NH",pro-mitigation
166,CoVid 19 Petition : To gain government support for small businesses in India,pro-mitigation
167,VTU is planning to conduct Offline exam over online semester - COVID is still rising,pro-mitigation
168,Demand a Green New Deal to save the planet after Covid-19,unclear
169,Protect Pregnant Healthcare Workers & Healthcare System from COVID19,pro-mitigation
170,Cuomo Close NYC construction during  Covid-19. Save peoples lives,pro-mitigation
171,"COVID-19 Pandemic: Supplies, Financial Support and Compassion for Humanity",pro-mitigation
172,Extend IELTS validity by a year following Covid-19 Pandemic,pro-mitigation
173,Commence Scenario 2 for High Schools and Revise COVID-19 Guidelines in Alberta,pro-mitigation
174,Petition to PM & FM INDIA: RELIEF FOR INDIAN LOAN BORROWER;EMI HOLIDAY! PLS BAN MORATORIUM,pro-mitigation
175,Facebook: Don’t stop the music!,unclear
176,Extend compassionate use of Remdesivir to health care workers,pro-mitigation
177,Impose trade sanctions for nations with unsafe bio-security in their (wet) meat markets,pro-mitigation
178,Lift the ban on alcohol sales in Barbados during the Covid-19 lock-down,pro-mitigation
179,"Housing Is Health! No Homelessness, No Rent Debt",unclear
180,Padma Vibhushan for Dr KK Aggarwal,pro-mitigation
181,Petition to lower the tuition fees for 2020/2021 sem 1 at Universiti Teknologi Malaysia.,unclear
182,MUHS should conduct online examination or Postpone MBBS examinations due to rising COVID,pro-mitigation
183,Release College Students From Off-Campus Housing Obligations During COVID-19 Pandemic,anti-mitigation
184,Get competitive swimmers back in the pool in PA!,anti-mitigation
185,Extend COVID-19 relief packages to temporary visa holders,pro-mitigation
186,Justice for Nikita Tomar,pro-mitigation
187,"Allow live meetings, conventions, and tradeshows to operate in Las Vegas at 50% capacity!",anti-mitigation
188,Protect Chesterfield's Special Education Students!,unclear
189,Forgiving rents in the time of lockdown due to Coronavirus,pro-mitigation
190,Move the Pop-Up Covid Test Centre away from the Old Town!,anti-mitigation
191,We Won't Leave Anyone In Our Community Behind During COVID-19 Pandemic,pro-mitigation
192,Tranparency Regarding Keller ISD's Management of COVID-19,pro-mitigation
193,Protect Orillia During COVID-19,pro-mitigation
194,Release all ICE Detainees Immediately,unclear
195,Unmask Elementary Children Outdoors (and all together).,anti-mitigation
196,Save Redrow/Crem skatepark,anti-mitigation
197,Give the elderly the first hour of supermarket trading during Covid-19,pro-mitigation
198,Close all MESA PUBLIC SCHOOLS because of COVID-19. Protect our Children!,pro-mitigation
199,Governor Hogan: Close preschools to protect childcare workers from the spread of COVID-19,pro-mitigation
200,Lower the age of breast cancer screening in Scotland - “Better screened than sorry”,unclear
201,Open Personal Training Studios During Phase 2,anti-mitigation
202,Tell Gov. Cuomo: Broadway Deserves a Seat at the Table,anti-mitigation
203,Covid 19: Repatriación de argentinos y residentes argentinos en el exterior.,pro-mitigation
204,NIRA to extend eligibility for athletes whose seasons were cut short,pro-mitigation
205,Protect Essential Autism Care in PA,unclear
206,Pass all classes of 2020 second semester,pro-mitigation
207,Concordia University students asking for the grading system this semester to be PASS/FAIL,pro-mitigation
208,Postpartum support for mothers in Newfoundland during COVID-19,pro-mitigation
209,Saskatchewan Needs a Better Back-To-School Plan,anti-mitigation
210,Petition for NSW Year 12 students to hold Graduation Assemblies and formals,anti-mitigation
211,"Lecce, DO NOT CHANGE MARCH BREAK AGAIN!",anti-mitigation
212,Postpone Highschool Spring Sports instead of Cancelling,anti-mitigation
213,Save Echo Park Lake,unclear
214,Proactively protecting the health of SHSU and Huntsville Amid growing concerns of COVID-19,pro-mitigation
215,Reschedule Rutgers University 2020 Commencement,anti-mitigation
216,COVID Outbreak: CLOSE DEVONSHIRE MALL,pro-mitigation
217,Re-opening of ALL Golf Facilities Immediately for ALL GOLFERS,anti-mitigation
218,Covid-19: give economic hardship relief to the hair & beauty industry – support UK salons,pro-mitigation
219,"Demand Visa, MasterCard, AMEX & Discover Reduce/Waive Certain Fees during COVID 19",pro-mitigation
220,Get Nassau County To Reverse The Postponement Of The 2020 Fall Season,anti-mitigation
221,Unemployment Relief For Independent Workers With Mixed Income Types,pro-mitigation
222,Allowing athletic competition,anti-mitigation
223,Manitobans Demand a FAIR Contract for Nurses & Quality Patient Care,pro-mitigation
224,Close UC Berkeley Campus Due to COVID-19 New Cases in Surrounding Areas,pro-mitigation
225,COVID-19 Hazard pay for all 1199 SEIU healthcare workers now,pro-mitigation
226,COVID-19 Pandemic: Reinstate Premium Pay for Essential Employees in the State of Maryland,pro-mitigation
227,Impeach Michigan Governor Gretchen Whitmer NOW,pro-mitigation
228,Grace-Graduate final year UG students owing to Covid-19,pro-mitigation
229,82yr Old Woman Battling Leukemia Needs Urgent Commutation of Sentence,pro-mitigation
230,Online classes for Universidad europea de valencia (COVID-19 Emergency),pro-mitigation
231,Sack Dominic Cummings!,unclear
232,Support excise parity for Canadian craft distilleries,unclear
233,Include Australia's Already Disadvantaged in the COVID-19 Stimulus Supplement,pro-mitigation
234,CANCEL 2021 METRIC BOARD EXAM DUE TO THE WIDE SPREAD OF COVID 19,pro-mitigation
235,Make DUT shut down all campuses for an appropriate amount of time should COVID-19 worsen.,pro-mitigation
236,SAVE FAIRLOP SAILING SCHOOL FROM CLOSURE,anti-mitigation
237,"Governor Kim Reynolds: Suspend Rent, Mortgage, & Utility Payments During This Crisis",pro-mitigation
238,Deny Mike Harris the Order of Ontario,pro-mitigation
239,"Governor Andy Beshear: Suspend Rent, Mortgage and Utility payments during the Corona Virus",pro-mitigation
240,Open Fitness Facilities Premier,unclear
241,"Petition for all 2020 parents to be granted $3,000 baby support grant",pro-mitigation
242,"Stop coronavirus - call for permanent ban on commercial wildlife breeding, markets & trade",pro-mitigation
243,Release COVID-19 Child Care Data in MA!,pro-mitigation
244,Shutdown the University of Waterloo campus temporarily due to COVID-19,pro-mitigation
245,Punëtorët informal duhet të përfitojnë nga paketat e ndihmës financiare COVID-19,pro-mitigation
246,Pay Petsmart employees Hazard pay due to COVID-19.,pro-mitigation
247,Hazard Pay for Fred Meyer Employees During the Outbreak of COVID-19,pro-mitigation
248,Allow Michigan Youth Soccer Players To Return To Play,anti-mitigation
249,Academic Freeze,unclear
250,Stop vigilante Covid-19 roadblocks,anti-mitigation
251,Canada Should Ban Flights from Europe due to COVID-19,pro-mitigation
252,Close NBPS after Spring Break due to the outbreak of COVID-19 in Broward county.,pro-mitigation
253,Close QASMT For 2 Weeks (COVID-19),pro-mitigation
254,Norwich University students to remain off-campus in response to COVID-19,pro-mitigation
255,COVID-19: Change to The Leaving Cert 2020,unclear
256,Personal Protective Equipment (PPE) and COVID-19 Health Care for NYPD Officers,pro-mitigation
257,Allow ski hills to operate during Ontario lockdown,anti-mitigation
258,Stonewall Jackson Cemetery Name To Remain The Same,unclear
259,Bring the AFL grand final to Perth,pro-mitigation
260,INTI SHOULD CANCELLING ALL PHYSICAL CLASSES TO REDUCE SPREAD OF COVID-19,pro-mitigation
261,COVID-19 Support for International Students,pro-mitigation
262,Gofundme deve eliminare i contributi x  le raccolte COVID nel mondo e donare agli ospedali,pro-mitigation
263,COVID vaccines for California teachers,pro-mitigation
264,Corona Virus Kenya: Petition to STOP all flights from CHINA & #COVID-19 hotspots,pro-mitigation
265,Cancel School for CPS,anti-mitigation
266,Provide federal financial assistance to renters affected by COVID-19,pro-mitigation
267,COVID-19: Suspend classes and Encourage online teaching at Coventry University,pro-mitigation
268,Sénégalais de l'extérieur victimes du COVID-19,unclear
269,Demand Congress Provide Free School Meals To Every K-12 Student In America,unclear
270,Lower Temple University Fall 2020 Tuition,unclear
271,AOTA Needs to Address Murders of Black Men and Women to Support OT's Diverse Community,unclear
272,Do not transfer our Municipal Commissioner until Covid is eradicated,pro-mitigation
273,Cover Covid19 Exposed or Contracted Longshore Workers Under Federal Compensation.,pro-mitigation
274,"SAY NO to using the Wyndham, Fresh Meadows to House 100 Former Inmates and Sex Offenders!",anti-mitigation
275,Help convince Inslee and WIAA to allow HS spring sports to resume,anti-mitigation
276,NZTR: Shifting the two Guineas Group One races north will ruin Cup Week in Christchurch!,anti-mitigation
277,#PostponeNEET_JEE,pro-mitigation
278,"""Play On""",anti-mitigation
279,NCAA Covid-19 Eligibility Relief,pro-mitigation
280,No to abandonment,pro-mitigation
281,NJ edTPA COVID-19: WAIVE edTPA for Fall 2020 Graduates,pro-mitigation
282,Get CoVID Vaccines to Nepal ASAP and prevent a humanitarian disaster,pro-mitigation
283,Compensate Essential Workers,pro-mitigation
284,Amend Recent COVID-19 Restrictions for Personal Care Services in London-Middlesex from,pro-mitigation
285,Petition against COVID-19 & Quarantine Bill: Say NO! to abuse of power and human rights.,anti-mitigation
286,Shut down TORONTO COVID-19,pro-mitigation
287,Force Big Chain Supermarkets/Takeaways to Drop Delivery Fees During the Covid-19 Pandemic,anti-mitigation
288,BAN USE OF CHEMICAL CROWD-CONTROL AGENTS DURING THE COVID-19 PANDEMIC,anti-mitigation
289,Allow virtual HBUHSD teachers to continue instruction online,pro-mitigation
290,"Tell Governor Newsom to Release Patricia Wright, A Blind Grandmother with Terminal Cancer",anti-mitigation
291,"Demand to grant  PR Status to Work permit holders, Refugee Claimants and Int. Students.",pro-mitigation
292,PLEASE SHUT DOWN and CLEAN Amazon facilities that test positive for COVID-19,pro-mitigation
293,Please Let Massachusetts Golf,anti-mitigation
294,Stop Deportation- Mother faces deportation that would take her away from her daughter,unclear
295,"The stoppage of Justin Trudeau's ""assault weapons"" ban",unclear
296,Allow Businesses and small traders to resume in Mumbai.,anti-mitigation
297,"With The world facing a Covid-19 pandemic, Unisa exams to change from seat-in to portfolio",pro-mitigation
298,DSTV should give S​.​A. subscribers a payment break or decrease prices during Covid-19,pro-mitigation
299,Postpone VTU exams,pro-mitigation
300,Pay PetSmart Employees While on Leave,unclear
301,Waive off School Fee at Indian Schools in Oman due to COVID-19,anti-mitigation
302,The Iranian people suffering from Coronavirus; Lift All Medical Sanctions Now,pro-mitigation
303,Arizona Suspend mortgage/rent and utility bills during mandatory Coronavirus shut down,pro-mitigation
304,Save Services for Those with Developmental Disabilities During Covid-19,pro-mitigation
305,Reverse Postponement of Winter & Spring Sports,pro-mitigation
306,Tell west Virginia representatives to not make hazelton/gilmer prison a quarantine site,anti-mitigation
307,Ask Gov. Polis to announce a COVID-19 Relief Package for Food & Bev,anti-mitigation
308,Reform of the Dental Council of New Zealand,unclear
309,Corona-Schutz für Obdachlose - sofortige Unterbringung benötigt!,unclear
310,St. James Town Urgently Needs Space for Food Security,unclear
311,GOV. BROWN: OPEN POOLS IN OREGON TO COMPETITIVE SWIMMERS IN PHASE 1,anti-mitigation
312,Appeal to the President of India on issues thrown up during lockdown,unclear
313,Covid-19 Youth Brigades exploited,anti-mitigation
314,Protection from COVID-19,unclear
315,Please facilitate 14-days-self-quarantine of Iranian new immigrants,pro-mitigation
316,Save Japanese Restaurants from Bankruptcy During COVID-19/防止日本餐廳業界破產倒閉之對策/일본 레스토랑 도산 방지 대책,unclear
317,GYMS VS. THE STATE OF ALABAMA,unclear
318,Temporary Moratorium on Evictions Due to COVID-19 Financial Hardships,pro-mitigation
319,Bring back Maldivians stranded in Malaysia due to Covid 19,anti-mitigation
320,Allow spa and leisure facilities to demonstrate that they can reopen safely.,anti-mitigation
321,"In wake of COVID-19 slowdown, guarantee the American people a Universal Basic Income",pro-mitigation
322,Freeze rents & mortgages for the duration of Coronavirus,anti-mitigation
323,Appeal to reduce university tuition in JA now that classes are online amidst COVID-19,pro-mitigation
324,Postpone UCLA Class of 2020 Commencement,unclear
325,Temporary online classes for HELP students due to covid-19,pro-mitigation
326,"Father's Day Gift: Sebastien, Rosena and Amaika Arrived Safely with YOUR Help!",anti-mitigation
327,Change USF Class Grading to Mandatory Pass/Fail for Spring 2020  Due to COVID-19,anti-mitigation
328,Force Dillard’s to close their Doors,pro-mitigation
329,Make small grants/funding available for Self Employed & Freelancers during COVID-19,pro-mitigation
330,Duval County Beach Access (COVID-19),pro-mitigation
331,#letthedjsplay,unclear
332,Stop the demolition of the Monument of Anti-Chico Dams Struggle Heroes,pro-mitigation
333,PASS/FAIL Grading Option for Spring 2020 Semester at the University of Miami,unclear
334,Australian Medical Schools Must Consider an Opt In/Opt Out System for 2020 GPA Results,unclear
335,Give Oregon Kids What They Need to Learn to Read!,pro-mitigation
336,Eat Healthy. Avoid pork and scavenger meat - it makes you sick.,pro-mitigation
337,NO FAILING @ UCR,unclear
338,Freeze Rent for All NYC Residents,unclear
339,Shut down schools in VVSD 365u due to COVID-19,pro-mitigation
340,Make 0% Interest Student Loans Permanent,unclear
341,Postponement of GATE 2021 exam due to pandemic situations,pro-mitigation
342,Scotland Back in the EU,unclear
343,Bryn Mawr College COVID-19 Credit/No Credit Spring Semester,unclear
344,$2000/month to every American #moneyforthepeople #covid19,pro-mitigation
345,Close all CCPS schools to limit spread of Coronavirus,pro-mitigation
346,"Save Our Future Teachers - Support, & Share",unclear
347,"Extenuating Circumstances for international students, University of Surrey",unclear
348,Petition for holidays in Colleges in concern of COVID-19,unclear
349,Atlanta Spa Shooting of Asian Women is a Hate Crime,unclear
350,Help International Students Stay at The University of Texas at Austin!,pro-mitigation
351,Require Vaccination Options for WA Teachers & Students before returning to school.,pro-mitigation
352,Null and void the Premier League,unclear
353,"Smithfield has case of COVID-19 in facility in Sioux Falls SD, should shut down for 2 week",pro-mitigation
354,Audit PMCARES FUND,unclear
355,STOP the Construction of a New Hog Confinement in Poweshiek! Save Our Air and Water!,pro-mitigation
356,Safe Staffing during COVID at Emanate,unclear
357,Stop Exposing Sanitation Workers through Open Bin Garbage Collection,pro-mitigation
358,Proteggere Italia e Svizzera dal COVID-19 | Protect Italy and Switzerland from COVID-19,unclear
359,COVID-19 crisis -more Australian music to be played on Australian radio.,pro-mitigation
360,Shutdown PartyTown Guelph to prevent the spread of COVID-19,pro-mitigation
361,Government of Ghana Must Implement the National Health Laboratory Policy,unclear
362,Close Holland and Barrett Stores. (Covid-19 Crisis),pro-mitigation
363,Save the saviors,unclear
364,Access to Covid-19 swabbing for symptomatic NHS and frontline emergency services,pro-mitigation
365,"Help St John become fully funded, it's a travesty they aren't already!",unclear
366,(NTU) - Viewing of results before deciding to S/U,anti-mitigation
367,Make masks mandatory in South Carolina,pro-mitigation
368,Require masks in grocery stores to fight COVID-19,pro-mitigation
369,Protect our Healthcare workers during the COVID-19 War!,pro-mitigation
370,Don’t force students to physically attend school on May 16 in New Jersey.,anti-mitigation
371,"AirAsia Should Refund Its’ Customers with Cash Refund, or at least Provide The Options",pro-mitigation
372,Compensate hospital locums and locum GPs from Covid 19 self-isolation income loss,pro-mitigation
373,Dominos Employees Demand COVID-19 Hazard Pay,anti-mitigation
374,¡Medidas MÁS SERIAS para enfrentar el COVID-19 en Miami!,pro-mitigation
375,Cancellation of ib exams for generations 2020 2021,unclear
376,Keep kids in extra curricular activities in ND.,anti-mitigation
377,Keep Doulas in the Hospital Supporting Moms during COVID-19,pro-mitigation
378,COVID-19:Provide Work From Home to all employees before it's too LATE. Health is important,pro-mitigation
379,Close Beaverton School District COVID 19,pro-mitigation
380,Hazard Pay and Family Leave for Walgreens Employees,unclear
381,Protect the arts from economic devastation following COVID-19 closures,anti-mitigation
382,Africa WILL NOT be the testing ground for the Covid-19 vaccine,anti-mitigation
383,"Support fair pay for NZ's aged care nurses - PETITION CLOSED WE REACHED 15,000! THANKS!",missing
384,BRING BACK THE OLD FLAMIN' HOT LAYS FORMULA,unclear
385,ICE: Do not deport International Students,pro-mitigation
386,Stop Evictions in Whittier - COVID-19,pro-mitigation
387,Get British performers home from cruise ships #GetBenhome #Covid 19,anti-mitigation
388,RESCHEDULING OF IIE GRADUATION,unclear
389,"Allow restaurants to offer outdoor ""Curbside Plus"" dining",anti-mitigation
390,Doug Ford: Reinstate the Covid benefit for all ODSP recipients,pro-mitigation
391,Save weddings & events! Create an Advisory Group to consult on safely reopening Ohio,anti-mitigation
392,Elderly Woman Battling Breast Cancer Needs Urgent Commutation of Sentence,anti-mitigation
393,Suspend Online Classes or Refund Our Money,anti-mitigation
394,Sailors need lifesavers too!!! Wake up world!!!,unclear
395,Loan forgiveness for nurses actively working during Covid -19,pro-mitigation
396,"DEAR PRESIDENT UHURU, WE CAN'T BREATH!",unclear
397,Pay the Student Nurses and Midwives,unclear
398,Help International Students return to Australia before 2021!,unclear
